City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Prainha
13,Atuona,PF,77.63,few clouds,-9.8,-139.0333,Pearl Resort
16,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
18,Port Blair,IN,77.04,mist,11.6667,92.75,Andaman Ocean Breeze
19,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
23,Rikitea,PF,75.02,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
31,Kapaa,US,75.52,scattered clouds,22.0752,-159.319,Pono Kai Resort
35,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
38,Hambantota,LK,76.96,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
47,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Pebbles Inn
49,Santa Maria,BR,83.5,scattered clouds,-29.6842,-53.8069,Hotel Morotin
50,Caravelas,BR,77.29,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
52,Faanui,PF,78.89,few clouds,-16.4833,-151.75,Oa Oa Lodge
53,Puerto Colombia,CO,87.89,light rain,10.9878,-74.9547,Hotel Puerto Colombia
58,Hilo,US,79.25,clear sky,19.7297,-155.09,Dolphin Bay Hotel
59,Vaini,TO,80.76,light intensity shower rain,-21.2,-175.2,Keleti International Resort
60,Nieuw Amsterdam,SR,82.56,scattered clouds,5.8833,-55.0833,Leonsberg Lodge
65,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
71,Sao Filipe,CV,78.12,clear sky,14.8961,-24.4956,Bela Vista
77,Kavieng,PG,81.95,overcast clouds,-2.5744,150.7967,Kavieng Hotel
85,Ratnagiri,IN,78.3,clear sky,16.9833,73.3,Vihar
107,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Grand Bel Air
111,Praya,CV,79.34,clear sky,14.9215,-23.5087,Casa Sodadi
112,Mogadishu,SO,79.93,broken clouds,2.0371,45.3438,SYL Hotel
