City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,18.12,86,100,3.44,light snow
1,Hobart,AU,-42.8794,147.3294,59.25,71,75,5.75,broken clouds
2,Mataura,NZ,-46.1927,168.8643,49.75,61,68,1.97,broken clouds
3,Port Alfred,ZA,-33.5906,26.891,62.19,90,61,3.6,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,56.8,70,7,12.44,clear sky
5,Castro,BR,-24.7911,-50.0119,61.52,94,100,6.8,overcast clouds
6,Hasaki,JP,35.7333,140.8333,51.22,68,0,19.22,clear sky
7,Vila Velha,BR,-20.3297,-40.2925,76.95,84,75,12.66,broken clouds
8,Grindavik,IS,63.8424,-22.4338,37.87,93,0,17.27,clear sky
9,Zhigalovo,RU,54.8097,105.1578,-2.09,86,100,9.66,overcast clouds
10,Jamestown,US,42.097,-79.2353,54.99,44,0,9.22,clear sky
11,Yumen,CN,40.2833,97.2,32.81,38,100,11.88,overcast clouds
12,Iqaluit,CA,63.7506,-68.5145,13.73,57,100,10.36,overcast clouds
13,Atuona,PF,-9.8,-139.0333,77.63,73,18,13.82,few clouds
14,Aswan,EG,24.0934,32.907,67.3,39,0,5.75,clear sky
15,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,11.5,scattered clouds
16,Avarua,CK,-21.2078,-159.775,78.85,69,75,13.8,broken clouds
17,Tres Arroyos,AR,-38.3739,-60.2798,90.73,28,99,14.29,light rain
18,Port Blair,IN,11.6667,92.75,77.04,94,40,2.3,mist
19,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,95,5.01,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,53.71,50,75,23.02,broken clouds
21,Esperanza,DO,19.5847,-70.9849,88.38,68,34,4.0,scattered clouds
22,Kombissiri,BF,12.0656,-1.3375,78.78,18,2,7.09,clear sky
23,Rikitea,PF,-23.1203,-134.9692,75.02,72,100,5.68,overcast clouds
24,Sept-Iles,CA,50.2001,-66.3821,35.06,73,100,2.3,overcast clouds
25,Nemuro,JP,43.3236,145.575,40.64,78,12,22.82,few clouds
26,Busselton,AU,-33.65,115.3333,50.58,88,0,9.66,clear sky
27,Victoria,HK,22.2855,114.1577,74.32,87,93,15.01,overcast clouds
28,Ahero,KE,-0.1746,34.9163,69.78,64,100,4.03,overcast clouds
29,Vyazemskiy,RU,47.5378,134.7525,13.24,84,89,6.8,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,51.42,62,0,19.57,clear sky
31,Kapaa,US,22.0752,-159.319,75.52,69,40,12.66,scattered clouds
32,Pevek,RU,69.7008,170.3133,-23.08,98,51,5.7,broken clouds
33,Buraydah,SA,26.326,43.975,72.05,47,38,12.88,scattered clouds
34,Saskylakh,RU,71.9167,114.0833,-13.11,97,100,7.43,overcast clouds
35,Souillac,MU,-20.5167,57.5167,75.58,73,40,11.5,scattered clouds
36,East London,ZA,-33.0153,27.9116,63.34,90,100,3.53,light rain
37,Dikson,RU,73.5069,80.5464,11.82,98,97,8.14,overcast clouds
38,Hambantota,LK,6.1241,81.1185,76.96,84,50,4.56,scattered clouds
39,Kodiak,US,57.79,-152.4072,35.11,51,75,6.91,broken clouds
40,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.17,98,100,2.15,moderate rain
41,Boende,CD,-0.2167,20.8667,71.11,99,100,1.43,light rain
42,Qaanaaq,GL,77.484,-69.3632,1.58,96,100,3.98,overcast clouds
43,Albany,US,42.6001,-73.9662,52.65,46,4,3.0,clear sky
44,Krasnoselkup,RU,65.7,82.4667,-16.49,100,82,6.71,broken clouds
45,Tiksi,RU,71.6872,128.8694,-19.23,96,100,8.86,overcast clouds
46,Ngong,KE,-1.3618,36.6566,62.89,68,75,17.27,broken clouds
47,Hithadhoo,MV,-0.6,73.0833,81.39,77,99,10.2,overcast clouds
48,Kundiawa,PG,-6.0167,144.9667,62.56,97,100,1.86,overcast clouds
49,Santa Maria,BR,-29.6842,-53.8069,83.5,48,40,17.27,scattered clouds
50,Caravelas,BR,-17.7125,-39.2481,77.29,85,100,9.26,heavy intensity rain
51,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,82,20,8.34,few clouds
52,Faanui,PF,-16.4833,-151.75,78.89,72,14,12.08,few clouds
53,Puerto Colombia,CO,10.9878,-74.9547,87.89,76,99,8.95,light rain
54,Bluff,NZ,-46.6,168.3333,49.57,60,70,3.22,broken clouds
55,Cazones,MX,20.7167,-97.3167,70.81,89,100,11.18,overcast clouds
56,Nevsehir,TR,38.9167,34.6667,34.81,93,40,0.0,scattered clouds
57,Pangnirtung,CA,66.1451,-65.7125,5.0,56,75,5.75,broken clouds
58,Hilo,US,19.7297,-155.09,79.25,66,0,1.99,clear sky
59,Vaini,TO,-21.2,-175.2,80.76,89,75,5.75,light intensity shower rain
60,Nieuw Amsterdam,SR,5.8833,-55.0833,82.56,88,40,5.75,scattered clouds
61,Asau,RO,46.4333,26.4,36.52,89,94,3.83,overcast clouds
62,La Ronge,CA,55.1001,-105.2842,25.05,63,75,9.22,broken clouds
63,Vereshchagino,RU,58.0789,54.6557,9.16,99,86,3.24,overcast clouds
64,Conceicao Do Araguaia,BR,-8.2578,-49.2647,71.33,97,100,2.95,light rain
65,Georgetown,MY,5.4112,100.3354,80.53,89,20,5.99,few clouds
66,Bara,NG,10.3744,10.7288,74.7,23,1,6.85,clear sky
67,Chuy,UY,-33.6971,-53.4616,73.72,71,0,12.91,clear sky
68,Cape Town,ZA,-33.9258,18.4232,64.27,66,20,21.85,few clouds
69,Luderitz,NA,-26.6481,15.1594,62.91,67,0,26.69,clear sky
70,Rio Gallegos,AR,-51.6226,-69.2181,69.85,17,20,19.57,few clouds
71,Sao Filipe,CV,14.8961,-24.4956,78.12,65,0,10.4,clear sky
72,Saint George,US,37.1041,-113.5841,45.19,33,0,3.44,clear sky
73,Homer,US,59.6425,-151.5483,35.47,60,0,5.75,clear sky
74,Barrow,US,71.2906,-156.7887,5.02,78,100,9.22,light snow
75,Bredasdorp,ZA,-34.5322,20.0403,57.97,71,17,5.44,few clouds
76,Butaritari,KI,3.0707,172.7902,80.56,74,63,6.24,broken clouds
77,Kavieng,PG,-2.5744,150.7967,81.95,65,96,6.26,overcast clouds
