City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2022-11-23 22:42:43,69.4541,-133.0374,8.6,92,100,4.61
1,Lebu,CL,2022-11-23 22:42:44,-37.6167,-73.65,58.98,89,4,15.05
2,Hobart,AU,2022-11-23 22:42:22,-42.8794,147.3294,62.26,67,98,3.0
3,Mataura,NZ,2022-11-23 22:42:44,-46.1927,168.8643,45.07,97,100,8.52
4,Poum,NC,2022-11-23 22:42:44,-20.2333,164.0167,79.45,76,27,4.61
5,Kintampo,GH,2022-11-23 22:42:45,8.0563,-1.7306,78.96,51,36,4.45
6,Punta Arenas,CL,2022-11-23 22:42:38,-53.15,-70.9167,44.71,61,40,36.82
7,Husavik,IS,2022-11-23 22:42:45,66.0449,-17.3389,37.72,98,100,8.34
8,Saskylakh,RU,2022-11-23 22:42:46,71.9167,114.0833,-36.29,100,85,2.46
9,Vaini,TO,2022-11-23 22:42:46,-21.2,-175.2,84.36,74,40,5.75
10,Upernavik,GL,2022-11-23 22:42:46,72.7868,-56.1549,23.45,85,97,13.62
11,Yenagoa,NG,2022-11-23 22:42:47,4.9247,6.2642,76.73,89,7,3.47
12,Yaan,NG,2022-11-23 22:42:47,7.3833,8.5667,76.01,25,3,4.05
13,Walvis Bay,NA,2022-11-23 22:42:48,-22.9575,14.5053,63.55,67,2,6.91
14,Lagoa,PT,2022-11-23 22:42:48,39.05,-27.9833,60.64,76,49,23.98
15,Nikolskoye,RU,2022-11-23 22:42:49,59.7035,30.7861,24.69,87,54,4.92
16,Lorengau,PG,2022-11-23 22:42:49,-2.0226,147.2712,84.36,71,22,10.11
17,Saint Augustine,US,2022-11-23 22:42:49,29.8947,-81.3145,66.04,99,100,12.66
18,Cherskiy,RU,2022-11-23 22:42:50,68.75,161.3,-27.02,98,99,2.77
19,Faanui,PF,2022-11-23 22:42:50,-16.4833,-151.75,79.81,73,82,6.73
20,Cockburn Town,TC,2022-11-23 22:42:51,21.4612,-71.1419,81.28,77,13,18.61
21,Bambous Virieux,MU,2022-11-23 22:42:51,-20.3428,57.7575,76.21,88,40,6.91
22,Gizo,SB,2022-11-23 22:42:51,-8.103,156.8419,84.4,67,33,4.61
23,Bahir Dar,ET,2022-11-23 22:42:52,11.5936,37.3908,60.15,55,22,1.77
24,Yibin,CN,2022-11-23 22:42:52,28.7667,104.6238,59.95,89,99,1.23
25,London,GB,2022-11-23 22:40:55,51.5085,-0.1257,50.36,80,90,8.05
26,Cape Town,ZA,2022-11-23 22:38:44,-33.9258,18.4232,63.27,84,75,16.11
27,Rikitea,PF,2022-11-23 22:42:53,-23.1203,-134.9692,71.87,86,100,7.27
28,Provideniya,RU,2022-11-23 22:42:53,64.3833,-173.3,17.71,67,100,11.18
29,Castro,BR,2022-11-23 22:42:54,-24.7911,-50.0119,64.06,85,2,1.5
30,Progreso,MX,2022-11-23 22:42:54,21.2833,-89.6667,79.48,78,49,7.81
31,Atuona,PF,2022-11-23 22:42:54,-9.8,-139.0333,77.94,77,12,14.92
32,Port Elizabeth,ZA,2022-11-23 22:42:55,-33.918,25.5701,66.31,78,0,11.5
33,Bhimunipatnam,IN,2022-11-23 22:42:55,17.8833,83.4333,76.51,87,49,4.47
34,Sao Joao Da Barra,BR,2022-11-23 22:42:55,-21.6403,-41.0511,77.09,88,100,17.02
35,Fuerte Olimpo,PY,2022-11-23 22:42:56,-21.0415,-57.8738,77.56,51,54,6.51
36,Vila Velha,BR,2022-11-23 22:42:56,-20.3297,-40.2925,76.95,87,75,6.91
37,Knysna,ZA,2022-11-23 22:42:57,-34.0363,23.0471,64.26,75,82,2.48
38,Silvassa,IN,2022-11-23 22:42:57,20.2667,73.0167,65.53,39,87,3.76
39,Ostrovnoy,RU,2022-11-23 22:42:57,68.0531,39.5131,26.06,85,99,5.06
40,Busselton,AU,2022-11-23 22:42:58,-33.65,115.3333,61.41,76,100,6.73
41,Kapaa,US,2022-11-23 22:42:58,22.0752,-159.319,82.38,71,20,17.27
42,Montlucon,FR,2022-11-23 22:42:59,46.3333,2.6,44.71,92,7,1.99
43,Yulara,AU,2022-11-23 22:42:59,-25.2406,130.9889,67.57,66,3,9.78
44,Hambantota,LK,2022-11-23 22:42:59,6.1241,81.1185,75.61,80,100,7.07
45,Udachnyy,RU,2022-11-23 22:44:00,66.4167,112.4,-15.68,99,100,4.47
46,Ahipara,NZ,2022-11-23 22:44:00,-35.1667,173.1667,63.23,79,64,16.13
47,Mar Del Plata,AR,2022-11-23 22:41:58,-38.0023,-57.5575,73.42,61,0,11.5
48,Severo-Kurilsk,RU,2022-11-23 22:44:01,50.6789,156.125,34.52,62,92,12.97
49,Kidal,ML,2022-11-23 22:44:01,18.4411,1.4078,72.21,13,100,10.98
50,Bluff,NZ,2022-11-23 22:44:01,-46.6,168.3333,52.18,65,100,22.64
51,Ponta Do Sol,PT,2022-11-23 22:44:02,32.6667,-17.1,69.71,69,78,3.22
52,Luderitz,NA,2022-11-23 22:44:02,-26.6481,15.1594,60.3,83,0,10.02
53,Talnakh,RU,2022-11-23 22:44:03,69.4865,88.3972,-30.03,97,15,1.36
54,Mount Gambier,AU,2022-11-23 22:44:03,-37.8333,140.7667,57.51,60,100,6.38
55,Jamestown,US,2022-11-23 22:44:03,42.097,-79.2353,46.04,42,0,3.44
56,Boyolangu,ID,2022-11-23 22:44:04,-8.1181,111.8935,76.06,92,99,4.68
